game_id,game_date,home_team,away_team,y_true_home_win,p_model,p_oof,p_market,odds_decimal,source_prediction_ref,source_odds_ref,paper_only,production_ready
LAN-20240403-0,2024-04-03,LAN,SFN,1,,,,,,,True,False
MIA-20240403-0,2024-04-03,MIA,ANA,0,,,,,,,True,False
MIL-20240403-0,2024-04-03,MIL,MIN,0,,,,,,,True,False
PHI-20240403-0,2024-04-03,PHI,CIN,0,,,,,,,True,False
SDN-20240403-0,2024-04-03,SDN,SLN,1,,,,,,,True,False
WAS-20240403-0,2024-04-03,WAS,PIT,1,,,,,,,True,False
BAL-20240403-0,2024-04-03,BAL,KCA,1,,,,,,,True,False
HOU-20240403-0,2024-04-03,HOU,TOR,1,,,,,,,True,False
OAK-20240403-0,2024-04-03,OAK,BOS,0,,,,,,,True,False
SEA-20240403-0,2024-04-03,SEA,CLE,0,,,,,,,True,False
TBA-20240403-0,2024-04-03,TBA,TEX,0,,,,,,,True,False
NYN-20240404-1,2024-04-04,NYN,DET,0,,,,,,,True,False
NYN-20240404-2,2024-04-04,NYN,DET,1,,,,,,,True,False
SLN-20240404-0,2024-04-04,SLN,MIA,1,,,,,,,True,False
WAS-20240404-0,2024-04-04,WAS,PIT,0,,,,,,,True,False
KCA-20240404-0,2024-04-04,KCA,CHA,1,,,,,,,True,False
MIN-20240404-0,2024-04-04,MIN,CLE,0,,,,,,,True,False
ATL-20240405-0,2024-04-05,ATL,ARI,1,,,,,,,True,False
CHN-20240405-0,2024-04-05,CHN,LAN,1,,,,,,,True,False
CIN-20240405-0,2024-04-05,CIN,NYN,0,,,,,,,True,False
COL-20240405-0,2024-04-05,COL,TBA,1,,,,,,,True,False
MIL-20240405-0,2024-04-05,MIL,SEA,1,,,,,,,True,False
PIT-20240405-0,2024-04-05,PIT,BAL,0,,,,,,,True,False
SFN-20240405-0,2024-04-05,SFN,SDN,1,,,,,,,True,False
WAS-20240405-0,2024-04-05,WAS,PHI,0,,,,,,,True,False
ANA-20240405-0,2024-04-05,ANA,BOS,0,,,,,,,True,False
DET-20240405-0,2024-04-05,DET,OAK,1,,,,,,,True,False
KCA-20240405-0,2024-04-05,KCA,CHA,1,,,,,,,True,False
NYA-20240405-0,2024-04-05,NYA,TOR,0,,,,,,,True,False
TEX-20240405-0,2024-04-05,TEX,HOU,1,,,,,,,True,False
ATL-20240406-0,2024-04-06,ATL,ARI,1,,,,,,,True,False
CHN-20240406-0,2024-04-06,CHN,LAN,0,,,,,,,True,False
CIN-20240406-0,2024-04-06,CIN,NYN,1,,,,,,,True,False
COL-20240406-0,2024-04-06,COL,TBA,0,,,,,,,True,False
MIL-20240406-0,2024-04-06,MIL,SEA,0,,,,,,,True,False
PIT-20240406-0,2024-04-06,PIT,BAL,1,,,,,,,True,False
SFN-20240406-0,2024-04-06,SFN,SDN,0,,,,,,,True,False
SLN-20240406-0,2024-04-06,SLN,MIA,1,,,,,,,True,False
WAS-20240406-0,2024-04-06,WAS,PHI,0,,,,,,,True,False
ANA-20240406-0,2024-04-06,ANA,BOS,1,,,,,,,True,False
DET-20240406-0,2024-04-06,DET,OAK,0,,,,,,,True,False
KCA-20240406-0,2024-04-06,KCA,CHA,1,,,,,,,True,False
MIN-20240406-0,2024-04-06,MIN,CLE,0,,,,,,,True,False
NYA-20240406-0,2024-04-06,NYA,TOR,1,,,,,,,True,False
TEX-20240406-0,2024-04-06,TEX,HOU,1,,,,,,,True,False
ATL-20240407-0,2024-04-07,ATL,ARI,1,,,,,,,True,False
CHN-20240407-0,2024-04-07,CHN,LAN,1,,,,,,,True,False
CIN-20240407-0,2024-04-07,CIN,NYN,0,,,,,,,True,False
COL-20240407-0,2024-04-07,COL,TBA,0,,,,,,,True,False
MIL-20240407-0,2024-04-07,MIL,SEA,1,,,,,,,True,False
PIT-20240407-0,2024-04-07,PIT,BAL,1,,,,,,,True,False
SFN-20240407-0,2024-04-07,SFN,SDN,1,,,,,,,True,False
SLN-20240407-0,2024-04-07,SLN,MIA,0,,,,,,,True,False
WAS-20240407-0,2024-04-07,WAS,PHI,1,,,,,,,True,False
ANA-20240407-0,2024-04-07,ANA,BOS,0,,,,,,,True,False
DET-20240407-0,2024-04-07,DET,OAK,0,,,,,,,True,False
KCA-20240407-0,2024-04-07,KCA,CHA,1,,,,,,,True,False
NYA-20240407-0,2024-04-07,NYA,TOR,1,,,,,,,True,False
TEX-20240407-0,2024-04-07,TEX,HOU,0,,,,,,,True,False
ATL-20240408-0,2024-04-08,ATL,NYN,0,,,,,,,True,False
CIN-20240408-0,2024-04-08,CIN,MIL,1,,,,,,,True,False
COL-20240408-0,2024-04-08,COL,ARI,1,,,,,,,True,False
PIT-20240408-0,2024-04-08,PIT,DET,1,,,,,,,True,False
SDN-20240408-0,2024-04-08,SDN,CHN,1,,,,,,,True,False
SFN-20240408-0,2024-04-08,SFN,WAS,0,,,,,,,True,False
SLN-20240408-0,2024-04-08,SLN,PHI,0,,,,,,,True,False
ANA-20240408-0,2024-04-08,ANA,TBA,1,,,,,,,True,False
CLE-20240408-0,2024-04-08,CLE,CHA,1,,,,,,,True,False
MIN-20240408-0,2024-04-08,MIN,LAN,0,,,,,,,True,False
NYA-20240408-0,2024-04-08,NYA,MIA,1,,,,,,,True,False
TEX-20240408-0,2024-04-08,TEX,HOU,0,,,,,,,True,False
TOR-20240408-0,2024-04-08,TOR,SEA,1,,,,,,,True,False
ATL-20240409-0,2024-04-09,ATL,NYN,1,,,,,,,True,False
CIN-20240409-0,2024-04-09,CIN,MIL,0,,,,,,,True,False
COL-20240409-0,2024-04-09,COL,ARI,0,,,,,,,True,False
PIT-20240409-0,2024-04-09,PIT,DET,0,,,,,,,True,False
SDN-20240409-0,2024-04-09,SDN,CHN,0,,,,,,,True,False
SFN-20240409-0,2024-04-09,SFN,WAS,0,,,,,,,True,False
SLN-20240409-0,2024-04-09,SLN,PHI,1,,,,,,,True,False
ANA-20240409-0,2024-04-09,ANA,TBA,0,,,,,,,True,False
BOS-20240409-0,2024-04-09,BOS,BAL,0,,,,,,,True,False
CLE-20240409-0,2024-04-09,CLE,CHA,0,,,,,,,True,False
KCA-20240409-0,2024-04-09,KCA,HOU,1,,,,,,,True,False
MIN-20240409-0,2024-04-09,MIN,LAN,0,,,,,,,True,False
NYA-20240409-0,2024-04-09,NYA,MIA,1,,,,,,,True,False
TEX-20240409-0,2024-04-09,TEX,OAK,0,,,,,,,True,False
TOR-20240409-0,2024-04-09,TOR,SEA,1,,,,,,,True,False
CIN-20240410-0,2024-04-10,CIN,MIL,0,,,,,,,True,False
COL-20240410-0,2024-04-10,COL,ARI,0,,,,,,,True,False
SDN-20240410-0,2024-04-10,SDN,CHN,1,,,,,,,True,False
SFN-20240410-0,2024-04-10,SFN,WAS,1,,,,,,,True,False
SLN-20240410-0,2024-04-10,SLN,PHI,0,,,,,,,True,False
ANA-20240410-0,2024-04-10,ANA,TBA,0,,,,,,,True,False
BOS-20240410-0,2024-04-10,BOS,BAL,0,,,,,,,True,False
CLE-20240410-0,2024-04-10,CLE,CHA,1,,,,,,,True,False
KCA-20240410-0,2024-04-10,KCA,HOU,1,,,,,,,True,False
MIN-20240410-0,2024-04-10,MIN,LAN,1,,,,,,,True,False
NYA-20240410-0,2024-04-10,NYA,MIA,0,,,,,,,True,False
TEX-20240410-0,2024-04-10,TEX,OAK,1,,,,,,,True,False
TOR-20240410-0,2024-04-10,TOR,SEA,0,,,,,,,True,False
ATL-20240411-0,2024-04-11,ATL,NYN,0,,,,,,,True,False
PHI-20240411-0,2024-04-11,PHI,PIT,1,,,,,,,True,False
BOS-20240411-0,2024-04-11,BOS,BAL,0,,,,,,,True,False
KCA-20240411-0,2024-04-11,KCA,HOU,1,,,,,,,True,False
TEX-20240411-0,2024-04-11,TEX,OAK,0,,,,,,,True,False
ARI-20240412-0,2024-04-12,ARI,SLN,0,,,,,,,True,False
LAN-20240412-0,2024-04-12,LAN,SDN,0,,,,,,,True,False
MIA-20240412-0,2024-04-12,MIA,ATL,0,,,,,,,True,False
NYN-20240412-0,2024-04-12,NYN,KCA,1,,,,,,,True,False
PHI-20240412-0,2024-04-12,PHI,PIT,0,,,,,,,True,False
BAL-20240412-0,2024-04-12,BAL,MIL,0,,,,,,,True,False
BOS-20240412-0,2024-04-12,BOS,ANA,0,,,,,,,True,False
CHA-20240412-0,2024-04-12,CHA,CIN,0,,,,,,,True,False
DET-20240412-0,2024-04-12,DET,MIN,1,,,,,,,True,False
HOU-20240412-0,2024-04-12,HOU,TEX,0,,,,,,,True,False
OAK-20240412-0,2024-04-12,OAK,WAS,1,,,,,,,True,False
SEA-20240412-0,2024-04-12,SEA,CHN,1,,,,,,,True,False
TBA-20240412-0,2024-04-12,TBA,SFN,1,,,,,,,True,False
TOR-20240412-0,2024-04-12,TOR,COL,0,,,,,,,True,False
ARI-20240413-0,2024-04-13,ARI,SLN,1,,,,,,,True,False
LAN-20240413-0,2024-04-13,LAN,SDN,1,,,,,,,True,False
