artifact_type,artifact_path,sha256,source,status,notes
p239_workflow_summary,report/p239a_paper_strategy_workflow/workflow_summary.json,7721cb3fc3654de2d1f3031c27a72afe0b16a243b9f40a232cc23c34d3701939,P239 workflow,PASS,sha256 recorded
p239_workflow_manifest,report/p239a_paper_strategy_workflow/workflow_manifest.json,4b13c0e186fdf219032253e1f576f9a56e37d9381148f36c7d4f653492caadcb,P239 workflow,PASS,sha256 recorded
p239_decisions,report/p239a_paper_strategy_workflow/decisions.csv,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,P239 workflow,PASS,sha256 recorded
p239_learning_summary,report/p239a_paper_strategy_workflow/learning_summary.json,e67c66ee48e93fb636fbc306361ae70d5326e1db388c97453f3ce48818d3fae3,P239 workflow,PASS,sha256 recorded
p239_learning_segments,report/p239a_paper_strategy_workflow/learning_segments.csv,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,P239 workflow,PASS,sha256 recorded
p240_inspection_summary,report/p240a_paper_strategy_workflow_inspector/inspection_summary.json,33101a798e6a0cfcadf55d3024aecb0656ea26ecc6cb7d8ec6148c68f5891076,P240 inspection,PASS,sha256 recorded
p240_inspection_checks,report/p240a_paper_strategy_workflow_inspector/inspection_checks.csv,40914d0f07ec0155a730f051ef0e4930cb937bc9043ca85fc9b5621d4c57bbb4,P240 inspection,PASS,sha256 recorded
