model_name,train_rows,test_rows,accuracy,log_loss,brier_score,calibration_error,coverage,notes
baseline_fixed_prior,1461,969,0.5325077399380805,0.6916226797724769,0.2492361976447256,0.017115805578688748,1.0,constant = train home-win rate; no discrimination
elo_like_rating,1461,969,0.5469556243550051,0.6911459977468924,0.2489383875621205,0.05029804391732336,1.0,rolling Elo K=20 + HFA; pregame only
retrained_team_history_smooth,1461,969,0.5634674922600619,0.6854084481672756,0.24614153430535807,0.02507581163007237,1.0,log5 of smoothed team win-rates + home logit bump; pregame only
calibrated_elo_recent_form,1461,969,0.541795665634675,0.6855365880121091,0.2462598825452743,0.023289725846769135,1.0,Elo logit Platt-calibrated on train fold only
market_implied_devig(REFERENCE_UNVERIFIED),0,969,0.5459236326109391,0.6841551776587593,0.24563122087734063,0.033323252026713546,1.0,historical odds timestamp unverified; descriptive only; NOT a verified pregame predictor or betting edge
