market,model_name,row_count,decided_count,push_count,push_rate,accuracy,log_loss,brier_score,calibration_error,paper_roi,paper_net_units,paper_units_staked,notes
run_line,baseline_coinflip_50pct,972,972,0,0.0,0.4567901234567901,0.6931471805599453,0.25,0.0432098765432099,-0.065445,-63.612548,972.0,"constant p=0.5 on the primary side; transparent floor, no discrimination"
run_line,poisson_team_rate_model,972,972,0,0.0,0.6008230452674898,0.6730984105389934,0.2395331280899321,0.04825990329218105,-0.010101,-9.817702,972.0,rolling shrinkage-smoothed team runs-for/runs-against rate -> Poisson lambda; pregame only; home_adv ratio-calibrated on train fold only
run_line,market_implied_devig(REFERENCE_UNVERIFIED),972,972,0,,0.6152263374485597,0.664636385163602,0.2358931443418085,0.03013422062959036,,,,post-game unverified snapshot; look-ahead; NOT a valid predictor; reference only
total,baseline_coinflip_50pct,972,918,54,0.05555555555555555,0.49564270152505446,0.6931471805599453,0.25,0.004357298474945537,-0.052019,-47.753868,918.0,"constant p=0.5 on the primary side; transparent floor, no discrimination"
total,poisson_team_rate_model,972,918,54,0.05555555555555555,0.5021786492374728,0.7230907216213618,0.2637121374640414,0.09586421568627453,-0.038772,-35.59233,918.0,rolling shrinkage-smoothed team runs-for/runs-against rate -> Poisson lambda; pregame only; home_adv ratio-calibrated on train fold only
total,market_implied_devig(REFERENCE_UNVERIFIED),972,918,54,,0.4869281045751634,0.6940835283376492,0.2504675115401635,0.026402394264258753,,,,post-game unverified snapshot; look-ahead; NOT a valid predictor; reference only
