"game_id","game_date","season","away_team","home_team","source_name","source_row_number","away_score","home_score","y_true_home_win"
"CHN-20240402-0","2024-04-02",2024,"COL","CHN","Retrosheet",71,2,12,1
"LAN-20240402-0","2024-04-02",2024,"SFN","LAN","Retrosheet",72,4,5,1
"MIA-20240402-0","2024-04-02",2024,"ANA","MIA","Retrosheet",73,3,1,0
"MIL-20240402-0","2024-04-02",2024,"MIN","MIL","Retrosheet",74,2,3,1
"PHI-20240402-0","2024-04-02",2024,"CIN","PHI","Retrosheet",75,4,9,1
"SDN-20240402-0","2024-04-02",2024,"SLN","SDN","Retrosheet",76,5,2,0
"BAL-20240402-0","2024-04-02",2024,"KCA","BAL","Retrosheet",77,4,1,0
"CHA-20240402-0","2024-04-02",2024,"ATL","CHA","Retrosheet",78,2,3,1
"HOU-20240402-0","2024-04-02",2024,"TOR","HOU","Retrosheet",79,2,1,0
"OAK-20240402-0","2024-04-02",2024,"BOS","OAK","Retrosheet",80,5,4,0
"SEA-20240402-0","2024-04-02",2024,"CLE","SEA","Retrosheet",81,5,2,0
"TBA-20240402-0","2024-04-02",2024,"TEX","TBA","Retrosheet",82,2,5,1
"ARI-20240403-0","2024-04-03",2024,"NYA","ARI","Retrosheet",83,6,5,0
"CHN-20240403-0","2024-04-03",2024,"COL","CHN","Retrosheet",84,8,9,1
"LAN-20240403-0","2024-04-03",2024,"SFN","LAN","Retrosheet",85,4,5,1
"MIA-20240403-0","2024-04-03",2024,"ANA","MIA","Retrosheet",86,10,2,0
"MIL-20240403-0","2024-04-03",2024,"MIN","MIL","Retrosheet",87,7,3,0
"PHI-20240403-0","2024-04-03",2024,"CIN","PHI","Retrosheet",88,4,1,0
"SDN-20240403-0","2024-04-03",2024,"SLN","SDN","Retrosheet",89,2,3,1
"WAS-20240403-0","2024-04-03",2024,"PIT","WAS","Retrosheet",90,3,5,1
"BAL-20240403-0","2024-04-03",2024,"KCA","BAL","Retrosheet",91,3,4,1
"HOU-20240403-0","2024-04-03",2024,"TOR","HOU","Retrosheet",92,0,8,1
"OAK-20240403-0","2024-04-03",2024,"BOS","OAK","Retrosheet",93,1,0,0
"SEA-20240403-0","2024-04-03",2024,"CLE","SEA","Retrosheet",94,8,0,0
"TBA-20240403-0","2024-04-03",2024,"TEX","TBA","Retrosheet",95,4,1,0
"NYN-20240404-1","2024-04-04",2024,"DET","NYN","Retrosheet",96,6,3,0
"NYN-20240404-2","2024-04-04",2024,"DET","NYN","Retrosheet",97,1,2,1
"SLN-20240404-0","2024-04-04",2024,"MIA","SLN","Retrosheet",98,5,8,1
"WAS-20240404-0","2024-04-04",2024,"PIT","WAS","Retrosheet",99,7,4,0
"KCA-20240404-0","2024-04-04",2024,"CHA","KCA","Retrosheet",100,1,10,1
"MIN-20240404-0","2024-04-04",2024,"CLE","MIN","Retrosheet",101,4,2,0
"ATL-20240405-0","2024-04-05",2024,"ARI","ATL","Retrosheet",102,5,6,1
"CHN-20240405-0","2024-04-05",2024,"LAN","CHN","Retrosheet",103,7,9,1
"CIN-20240405-0","2024-04-05",2024,"NYN","CIN","Retrosheet",104,3,2,0
"COL-20240405-0","2024-04-05",2024,"TBA","COL","Retrosheet",105,7,10,1
"MIL-20240405-0","2024-04-05",2024,"SEA","MIL","Retrosheet",106,5,6,1
"PIT-20240405-0","2024-04-05",2024,"BAL","PIT","Retrosheet",107,5,2,0
"SFN-20240405-0","2024-04-05",2024,"SDN","SFN","Retrosheet",108,2,3,1
"WAS-20240405-0","2024-04-05",2024,"PHI","WAS","Retrosheet",109,4,0,0
"ANA-20240405-0","2024-04-05",2024,"BOS","ANA","Retrosheet",110,8,6,0
"DET-20240405-0","2024-04-05",2024,"OAK","DET","Retrosheet",111,4,5,1
"KCA-20240405-0","2024-04-05",2024,"CHA","KCA","Retrosheet",112,1,2,1
"NYA-20240405-0","2024-04-05",2024,"TOR","NYA","Retrosheet",113,3,0,0
"TEX-20240405-0","2024-04-05",2024,"HOU","TEX","Retrosheet",114,2,10,1
"ATL-20240406-0","2024-04-06",2024,"ARI","ATL","Retrosheet",115,8,9,1
"CHN-20240406-0","2024-04-06",2024,"LAN","CHN","Retrosheet",116,4,1,0
"CIN-20240406-0","2024-04-06",2024,"NYN","CIN","Retrosheet",117,6,9,1
