"game_id","game_date","season","away_team","home_team","source_name","source_row_number"
"TBA-20240402-0","2024-04-02",2024,"TEX","TBA","Retrosheet",82
"ARI-20240403-0","2024-04-03",2024,"NYA","ARI","Retrosheet",83
"CHN-20240403-0","2024-04-03",2024,"COL","CHN","Retrosheet",84
"LAN-20240403-0","2024-04-03",2024,"SFN","LAN","Retrosheet",85
"MIA-20240403-0","2024-04-03",2024,"ANA","MIA","Retrosheet",86
"MIL-20240403-0","2024-04-03",2024,"MIN","MIL","Retrosheet",87
"PHI-20240403-0","2024-04-03",2024,"CIN","PHI","Retrosheet",88
"SDN-20240403-0","2024-04-03",2024,"SLN","SDN","Retrosheet",89
"WAS-20240403-0","2024-04-03",2024,"PIT","WAS","Retrosheet",90
"BAL-20240403-0","2024-04-03",2024,"KCA","BAL","Retrosheet",91
"HOU-20240403-0","2024-04-03",2024,"TOR","HOU","Retrosheet",92
"OAK-20240403-0","2024-04-03",2024,"BOS","OAK","Retrosheet",93
"SEA-20240403-0","2024-04-03",2024,"CLE","SEA","Retrosheet",94
"TBA-20240403-0","2024-04-03",2024,"TEX","TBA","Retrosheet",95
"NYN-20240404-1","2024-04-04",2024,"DET","NYN","Retrosheet",96
"NYN-20240404-2","2024-04-04",2024,"DET","NYN","Retrosheet",97
"SLN-20240404-0","2024-04-04",2024,"MIA","SLN","Retrosheet",98
"WAS-20240404-0","2024-04-04",2024,"PIT","WAS","Retrosheet",99
"KCA-20240404-0","2024-04-04",2024,"CHA","KCA","Retrosheet",100
"MIN-20240404-0","2024-04-04",2024,"CLE","MIN","Retrosheet",101
"ATL-20240405-0","2024-04-05",2024,"ARI","ATL","Retrosheet",102
"CHN-20240405-0","2024-04-05",2024,"LAN","CHN","Retrosheet",103
"CIN-20240405-0","2024-04-05",2024,"NYN","CIN","Retrosheet",104
"COL-20240405-0","2024-04-05",2024,"TBA","COL","Retrosheet",105
"MIL-20240405-0","2024-04-05",2024,"SEA","MIL","Retrosheet",106
"PIT-20240405-0","2024-04-05",2024,"BAL","PIT","Retrosheet",107
"SFN-20240405-0","2024-04-05",2024,"SDN","SFN","Retrosheet",108
"WAS-20240405-0","2024-04-05",2024,"PHI","WAS","Retrosheet",109
"ANA-20240405-0","2024-04-05",2024,"BOS","ANA","Retrosheet",110
"DET-20240405-0","2024-04-05",2024,"OAK","DET","Retrosheet",111
"KCA-20240405-0","2024-04-05",2024,"CHA","KCA","Retrosheet",112
"NYA-20240405-0","2024-04-05",2024,"TOR","NYA","Retrosheet",113
"TEX-20240405-0","2024-04-05",2024,"HOU","TEX","Retrosheet",114
"ATL-20240406-0","2024-04-06",2024,"ARI","ATL","Retrosheet",115
"CHN-20240406-0","2024-04-06",2024,"LAN","CHN","Retrosheet",116
"CIN-20240406-0","2024-04-06",2024,"NYN","CIN","Retrosheet",117
"COL-20240406-0","2024-04-06",2024,"TBA","COL","Retrosheet",118
"MIL-20240406-0","2024-04-06",2024,"SEA","MIL","Retrosheet",119
"PIT-20240406-0","2024-04-06",2024,"BAL","PIT","Retrosheet",120
"SFN-20240406-0","2024-04-06",2024,"SDN","SFN","Retrosheet",121
"SLN-20240406-0","2024-04-06",2024,"MIA","SLN","Retrosheet",122
"WAS-20240406-0","2024-04-06",2024,"PHI","WAS","Retrosheet",123
"ANA-20240406-0","2024-04-06",2024,"BOS","ANA","Retrosheet",124
"DET-20240406-0","2024-04-06",2024,"OAK","DET","Retrosheet",125
