"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"TBA-20240401-0","2024-04-01",2024,"TEX","TBA",9,3,0,"Retrosheet",69
"ARI-20240402-0","2024-04-02",2024,"NYA","ARI",0,7,1,"Retrosheet",70
"CHN-20240402-0","2024-04-02",2024,"COL","CHN",2,12,1,"Retrosheet",71
"LAN-20240402-0","2024-04-02",2024,"SFN","LAN",4,5,1,"Retrosheet",72
"MIA-20240402-0","2024-04-02",2024,"ANA","MIA",3,1,0,"Retrosheet",73
"MIL-20240402-0","2024-04-02",2024,"MIN","MIL",2,3,1,"Retrosheet",74
"PHI-20240402-0","2024-04-02",2024,"CIN","PHI",4,9,1,"Retrosheet",75
"SDN-20240402-0","2024-04-02",2024,"SLN","SDN",5,2,0,"Retrosheet",76
"BAL-20240402-0","2024-04-02",2024,"KCA","BAL",4,1,0,"Retrosheet",77
"CHA-20240402-0","2024-04-02",2024,"ATL","CHA",2,3,1,"Retrosheet",78
"HOU-20240402-0","2024-04-02",2024,"TOR","HOU",2,1,0,"Retrosheet",79
"OAK-20240402-0","2024-04-02",2024,"BOS","OAK",5,4,0,"Retrosheet",80
"SEA-20240402-0","2024-04-02",2024,"CLE","SEA",5,2,0,"Retrosheet",81
"TBA-20240402-0","2024-04-02",2024,"TEX","TBA",2,5,1,"Retrosheet",82
"ARI-20240403-0","2024-04-03",2024,"NYA","ARI",6,5,0,"Retrosheet",83
"CHN-20240403-0","2024-04-03",2024,"COL","CHN",8,9,1,"Retrosheet",84
"LAN-20240403-0","2024-04-03",2024,"SFN","LAN",4,5,1,"Retrosheet",85
"MIA-20240403-0","2024-04-03",2024,"ANA","MIA",10,2,0,"Retrosheet",86
"MIL-20240403-0","2024-04-03",2024,"MIN","MIL",7,3,0,"Retrosheet",87
"PHI-20240403-0","2024-04-03",2024,"CIN","PHI",4,1,0,"Retrosheet",88
"SDN-20240403-0","2024-04-03",2024,"SLN","SDN",2,3,1,"Retrosheet",89
"WAS-20240403-0","2024-04-03",2024,"PIT","WAS",3,5,1,"Retrosheet",90
"BAL-20240403-0","2024-04-03",2024,"KCA","BAL",3,4,1,"Retrosheet",91
"HOU-20240403-0","2024-04-03",2024,"TOR","HOU",0,8,1,"Retrosheet",92
"OAK-20240403-0","2024-04-03",2024,"BOS","OAK",1,0,0,"Retrosheet",93
"SEA-20240403-0","2024-04-03",2024,"CLE","SEA",8,0,0,"Retrosheet",94
"TBA-20240403-0","2024-04-03",2024,"TEX","TBA",4,1,0,"Retrosheet",95
"NYN-20240404-1","2024-04-04",2024,"DET","NYN",6,3,0,"Retrosheet",96
"NYN-20240404-2","2024-04-04",2024,"DET","NYN",1,2,1,"Retrosheet",97
"SLN-20240404-0","2024-04-04",2024,"MIA","SLN",5,8,1,"Retrosheet",98
"WAS-20240404-0","2024-04-04",2024,"PIT","WAS",7,4,0,"Retrosheet",99
"KCA-20240404-0","2024-04-04",2024,"CHA","KCA",1,10,1,"Retrosheet",100
"MIN-20240404-0","2024-04-04",2024,"CLE","MIN",4,2,0,"Retrosheet",101
"ATL-20240405-0","2024-04-05",2024,"ARI","ATL",5,6,1,"Retrosheet",102
"CHN-20240405-0","2024-04-05",2024,"LAN","CHN",7,9,1,"Retrosheet",103
"CIN-20240405-0","2024-04-05",2024,"NYN","CIN",3,2,0,"Retrosheet",104
"COL-20240405-0","2024-04-05",2024,"TBA","COL",7,10,1,"Retrosheet",105
"MIL-20240405-0","2024-04-05",2024,"SEA","MIL",5,6,1,"Retrosheet",106
"PIT-20240405-0","2024-04-05",2024,"BAL","PIT",5,2,0,"Retrosheet",107
"SFN-20240405-0","2024-04-05",2024,"SDN","SFN",2,3,1,"Retrosheet",108
